time_epoch_braclet acc_x acc_y acc_z gyro_x gyro_y gyro_z quat_w quat_x quat_y quat_z rssi-inCollision acc_x-inCollision acc_y-inCollision acc_z-inCollision gyro_x-inCollision gyro_y-inCollision gyro_z-inCollision quat_w-inCollision quat_x-inCollision quat_y-inCollision quat_z-inCollision bracelets-distance
1595876263.812000 -954 92 183 -41 14 5 -7.410974e-01 -2.353543e-01 -5.929633e-01 2.092309e-01 70 834 -62 -255 -911 -750 -452 -5.228348e-01 6.270843e-01 4.693672e-01 3.363086e-01 3.090570
1595876263.864000 -954 92 183 -41 14 5 -7.410974e-01 -2.353543e-01 -5.929633e-01 2.092309e-01 69 958 -165 -355 -1316 -1035 -945 -4.379842e-01 6.610657e-01 4.932816e-01 3.575406e-01 3.092924
1595876263.912000 -960 90 183 -32 -2 8 -7.413582e-01 -2.338336e-01 -5.937091e-01 2.078928e-01 68 958 -165 -355 -1316 -1035 -945 -4.379842e-01 6.610657e-01 4.932816e-01 3.575406e-01 3.093692
1595876263.966000 -960 90 183 -32 -2 8 -7.413582e-01 -2.338336e-01 -5.937091e-01 2.078928e-01 69 922 -179 -377 -1233 -687 -668 -3.527829e-01 6.844477e-01 5.100094e-01 3.833615e-01 3.088869
1595876264.012000 -959 99 177 -5 -18 -9 -7.418384e-01 -2.329155e-01 -5.936416e-01 2.074023e-01 69 1164 -179 -377 -1233 -687 -668 -3.527829e-01 6.844477e-01 5.100094e-01 3.833615e-01 3.079367
1595876264.064000 -959 99 177 -5 -18 -9 -7.418384e-01 -2.329155e-01 -5.936416e-01 2.074023e-01 72 1164 -267 -590 -998 -781 -170 -2.824070e-01 7.123347e-01 5.055495e-01 3.965417e-01 3.058466
1595876264.112000 -925 90 165 23 -23 8 -7.421499e-01 -2.320630e-01 -5.935856e-01 2.074040e-01 70 1164 -267 -590 -998 -781 -170 -2.824070e-01 7.123347e-01 5.055495e-01 3.965417e-01 3.038734
1595876264.164000 -925 90 165 23 -23 8 -7.421499e-01 -2.320630e-01 -5.935856e-01 2.074040e-01 66 758 -210 -231 168 482 419 -2.691070e-01 7.243122e-01 4.887749e-01 4.050338e-01 2.993244
1595876264.212000 -942 78 173 -21 73 -36 -7.406460e-01 -2.325390e-01 -5.953854e-01 2.070879e-01 69 758 -210 -231 168 482 419 -2.691070e-01 7.243122e-01 4.887749e-01 4.050338e-01 2.961391
1595876264.264000 -942 78 173 -21 73 -36 -7.406460e-01 -2.325390e-01 -5.953854e-01 2.070879e-01 75 1057 -212 -538 906 -279 1016 -2.991297e-01 7.443758e-01 4.702702e-01 3.677934e-01 2.921576
