time_epoch_braclet acc_x acc_y acc_z gyro_x gyro_y gyro_z quat_w quat_x quat_y quat_z rssi-inCollision acc_x-inCollision acc_y-inCollision acc_z-inCollision gyro_x-inCollision gyro_y-inCollision gyro_z-inCollision quat_w-inCollision quat_x-inCollision quat_y-inCollision quat_z-inCollision bracelets-distance
1595876265.114000 874 -186 -444 -804 581 609 -2.963932e-01 7.860888e-01 2.368215e-01 4.879867e-01 67 -926 97 155 12 33 -3 -7.418943e-01 -2.341346e-01 -5.934544e-01 2.063632e-01 2.477514
1595876265.168000 874 -186 -444 -804 581 609 -2.963932e-01 7.860888e-01 2.368215e-01 4.879867e-01 66 -926 97 155 12 33 -3 -7.418943e-01 -2.341346e-01 -5.934544e-01 2.063632e-01 2.465290
1595876265.214000 733 -171 -272 -652 -275 178 -2.792897e-01 7.949624e-01 1.961009e-01 5.015740e-01 68 -969 95 174 17 74 -23 -7.387728e-01 -2.341929e-01 -5.972927e-01 2.064218e-01 2.449461
1595876265.268000 850 -182 -369 -815 -275 178 -2.792897e-01 7.949624e-01 1.961009e-01 5.015740e-01 76 -969 95 174 17 74 -23 -7.387728e-01 -2.341929e-01 -5.972927e-01 2.064218e-01 2.435751
1595876265.314000 850 -182 -369 -815 -493 -471 -2.414001e-01 8.169762e-01 1.964161e-01 4.854859e-01 79 -972 88 193 -13 7 -17 -7.373577e-01 -2.343725e-01 -5.990536e-01 2.061745e-01 2.424414
1595876265.368000 850 -182 -369 -815 -493 -471 -2.414001e-01 8.169762e-01 1.964161e-01 4.854859e-01 71 -972 88 193 -13 7 -17 -7.373577e-01 -2.343725e-01 -5.990536e-01 2.061745e-01 2.403928
1595876265.414000 938 -220 -295 -790 -826 -869 -1.792592e-01 8.336741e-01 2.149645e-01 4.760713e-01 82 -961 100 179 19 -71 9 -7.386489e-01 -2.338261e-01 -5.972302e-01 2.074589e-01 2.374533
1595876265.468000 938 -220 -295 -790 -826 -869 -1.792592e-01 8.336741e-01 2.149645e-01 4.760713e-01 68 -961 100 179 19 -71 9 -7.386489e-01 -2.338261e-01 -5.972302e-01 2.074589e-01 2.337646
1595876265.514000 983 -244 -384 -208 -688 -913 -1.249418e-01 8.474314e-01 2.534237e-01 4.494731e-01 74 -939 100 163 16 -55 31 -7.408523e-01 -2.344995e-01 -5.941223e-01 2.077658e-01 2.307110
1595876265.568000 1135 -242 -580 93 -1 -913 -1.249418e-01 8.474314e-01 2.534237e-01 4.494731e-01 75 -939 100 163 16 -55 31 -7.408523e-01 -2.344995e-01 -5.941223e-01 2.077658e-01 2.247417
1595876265.614000 1135 -242 -580 93 -1 -302 -1.087043e-01 8.424738e-01 2.874164e-01 4.425078e-01 74 -931 95 156 1 -4 13 -7.416491e-01 -2.346226e-01 -5.932704e-01 2.072174e-01 2.217532
1595876265.668000 1135 -242 -580 93 -1 -302 -1.087043e-01 8.424738e-01 2.874164e-01 4.425078e-01 73 -931 95 156 1 -4 13 -7.416491e-01 -2.346226e-01 -5.932704e-01 2.072174e-01 2.155458
